Mod:Item:MetaData, Localized Name
minecraft:stained_glass:10, Vidro Tingido de Lilás
minecraft:stained_glass:11, Vidro Tingido de Azul
minecraft:stained_glass:12, Vidro Tingido de Marrom
minecraft:stained_glass:13, Vidro Tingido de Verde
minecraft:stained_glass:14, Vidro Tingido de Vermelho
minecraft:stained_glass:15, Vidro Tingido de Preto
minecraft:trapdoor, Alçapão
minecraft:monster_egg:0, Ovo de Monstro de Pedra
minecraft:monster_egg:1, Ovo de Monstro de Pedregulho
minecraft:monster_egg:2, Ovo de Monstro de Tijolos de Pedra
minecraft:monster_egg:3, Ovo de Monstro de Tijolos de Pedra com Musgo
minecraft:monster_egg:4, Ovo de Monstro de Tijolos de Pedra Rachados
minecraft:monster_egg:5, Ovo de Monstro de Tijolos de Pedra Talhados
minecraft:stonebrick:0, Tijolos de Pedra
minecraft:stonebrick:1, Tijolos de Pedra com Musgo
minecraft:stonebrick:2, Tijolos de Pedra Rachados
minecraft:stonebrick:3, Tijolos de Pedra Talhados
minecraft:brown_mushroom_block, Cogumelo
minecraft:red_mushroom_block, Cogumelo
minecraft:iron_bars, Barras de Ferro
minecraft:glass_pane, Painel de Vidro
minecraft:melon_block, Melancia
minecraft:vine, Vinhas
minecraft:fence_gate, Portão
minecraft:brick_stairs, Escadas de Tijolos
minecraft:stone_brick_stairs, Escadas de Tijolos de Pedra
minecraft:mycelium, Micélio
minecraft:waterlily, Vitória-Régia
minecraft:nether_brick, Tijolos do Nether
minecraft:nether_brick_fence, Cerca de Tijolos do Nether
minecraft:nether_brick_stairs, Escadas de Tijolos do Nether
minecraft:enchanting_table, Altar de Encantamentos
minecraft:end_portal, Unnamed Block, report to mod author.
minecraft:end_portal_frame, Portal do Fim
minecraft:end_stone, Pedra do Fim
minecraft:dragon_egg, Ovo de Dragão
minecraft:redstone_lamp, Lâmpada de Redstone
minecraft:wooden_slab:0, Laje de Carvalho
minecraft:wooden_slab:1, Laje de Pinheiro
minecraft:wooden_slab:2, Laje de Eucalipto
minecraft:wooden_slab:3, Laje de Madeira da Selva
minecraft:wooden_slab:4, Laje de Acácia
minecraft:wooden_slab:5, Laje de Carvalho Escuro
minecraft:cocoa, Cacau
minecraft:sandstone_stairs, Escadas de Arenito
minecraft:emerald_ore, Minério de Esmeralda
minecraft:ender_chest, Baú do Fim
minecraft:tripwire_hook, Gancho de Armadilha
minecraft:emerald_block, Bloco de Esmeralda
minecraft:spruce_stairs, Escadas de Pinheiro
minecraft:birch_stairs, Escadas de Eucalipto
minecraft:jungle_stairs, Escadas de Madeira da Selva
minecraft:command_block, Bloco de Comando
minecraft:beacon, Sinalizador
minecraft:cobblestone_wall:0, Parede de Pedregulho
minecraft:cobblestone_wall:1, Parede de Pedregulho com Musgo
minecraft:carrots, Cenouras
minecraft:potatoes, Batatas
minecraft:wooden_button, Botão
minecraft:anvil:0, Bigorna
minecraft:anvil:1, Bigorna Ligeiramente Danificada
minecraft:anvil:2, Bigorna Muito Danificada
minecraft:trapped_chest, Baú com Armadilha
minecraft:light_weighted_pressure_plate, Placa de Pressão de Pesagem (Leve)
minecraft:heavy_weighted_pressure_plate, Placa de Pressão de Pesagem (Pesada)
minecraft:daylight_detector, Sensor de Luz Solar
minecraft:redstone_block, Bloco de Redstone
minecraft:quartz_ore, Minério de Quartzo
minecraft:hopper, Funil
minecraft:quartz_block:0, Bloco de Quartzo
minecraft:quartz_block:1, Bloco de Quartzo Talhado
minecraft:quartz_block:2, Pilar de Quartzo
minecraft:quartz_stairs, Escadas de Quartzo
minecraft:activator_rail, Trilho Ativador
minecraft:dropper, Liberador
minecraft:stained_hardened_clay:0, Argila Tingida de Branco
minecraft:stained_hardened_clay:1, Argila Tingida de Laranja
minecraft:stained_hardened_clay:2, Argila Tingida de Magenta
minecraft:stained_hardened_clay:3, Argila Tingida de Azul Claro
minecraft:stained_hardened_clay:4, Argila Tingida de Amarelo
minecraft:stained_hardened_clay:5, Argila Tingida de Verde Limão
minecraft:stained_hardened_clay:6, Argila Tingida de Rosa
minecraft:stained_hardened_clay:7, Argila Tingida de Cinza
minecraft:stained_hardened_clay:8, Argila Tingida de Cinza Claro
minecraft:stained_hardened_clay:9, Argila Tingida de Ciano
minecraft:stained_hardened_clay:10, Argila Tingida de Lilás
minecraft:stained_hardened_clay:11, Argila Tingida de Azul
minecraft:stained_hardened_clay:12, Argila Tingida de Marrom
minecraft:stained_hardened_clay:13, Argila Tingida de Verde
minecraft:stained_hardened_clay:14, Argila Tingida de Vermelho
minecraft:stained_hardened_clay:15, Argila Tingida de Preto
minecraft:stained_glass_pane:0, Painel de Vidro Tingido de Branco
minecraft:stained_glass_pane:1, Painel de Vidro Tingido de Laranja
minecraft:stained_glass_pane:2, Painel de Vidro Tingido de Magenta
minecraft:stained_glass_pane:3, Painel de Vidro Tingido de Azul Claro
minecraft:stained_glass_pane:4, Painel de Vidro Tingido de Amarelo
minecraft:stained_glass_pane:5, Painel de Vidro Tingido de Verde Limão
minecraft:stained_glass_pane:6, Painel de Vidro Tingido de Rosa
minecraft:stained_glass_pane:7, Painel de Vidro Tingido de Cinza
minecraft:stained_glass_pane:8, Painel de Vidro Tingido de Cinza Claro
minecraft:stained_glass_pane:9, Painel de Vidro Tingido de Ciano
minecraft:stained_glass_pane:10, Painel de Vidro Tingido de Lilás
minecraft:stained_glass_pane:11, Painel de Vidro Tingido de Azul
minecraft:stained_glass_pane:12, Painel de Vidro Tingido de Marrom
minecraft:stained_glass_pane:13, Painel de Vidro Tingido de Verde
minecraft:stained_glass_pane:14, Painel de Vidro Tingido de Vermelho
minecraft:stained_glass_pane:15, Painel de Vidro Tingido de Preto
minecraft:leaves2:0, Folhas de Acácia
minecraft:leaves2:1, Folhas de Carvalho Escuro
minecraft:log2:0, Madeira de Acácia
minecraft:log2:1, Madeira de Carvalho Escuro
minecraft:acacia_stairs, Escadas de Acácia
minecraft:dark_oak_stairs, Escadas de Carvalho Escuro
appliedenergistics2:tile.OreQuartz, Minério de Quartzo Certus
appliedenergistics2:tile.OreQuartzCharged, Minério de Quartzo Certus Carregado
appliedenergistics2:tile.BlockMatrixFrame, Armação de Matriz
appliedenergistics2:tile.BlockQuartz, Bloco de Quartzo Certus
appliedenergistics2:tile.BlockQuartzPillar, Pilar de Quartzo Certus
minecraft:hay_block, Fardo de Feno
minecraft:carpet:0, Carpete
minecraft:carpet:1, Carpete Laranja
minecraft:carpet:2, Carpete Magenta
minecraft:carpet:3, Carpete Azul Claro
minecraft:carpet:4, Carpete Amarelo
minecraft:carpet:5, Carpete Verde Limão
minecraft:carpet:6, Carpete Rosa
minecraft:carpet:7, Carpete Cinza
minecraft:carpet:8, Carpete Cinza Claro
minecraft:carpet:9, Carpete Ciano
minecraft:carpet:10, Carpete Lilás
minecraft:carpet:11, Carpete Azul
minecraft:carpet:12, Carpete Marrom
minecraft:carpet:13, Carpete Verde
minecraft:carpet:14, Carpete Vermelho
minecraft:carpet:15, Carpete Preto
minecraft:hardened_clay, Argila Endurecida
minecraft:coal_block, Bloco de Carvão
minecraft:packed_ice, Gelo Compactado
minecraft:double_plant:0, Girassol
minecraft:double_plant:1, Lilás
minecraft:double_plant:2, Grama Alta
minecraft:double_plant:3, Samambaia Grande
minecraft:double_plant:4, Roseira
minecraft:double_plant:5, Peônia
appliedenergistics2:tile.BlockQuartzChiseled, Bloco de Quartzo Certus Talhado
appliedenergistics2:tile.BlockQuartzGlass, Vidro de Quartzo
appliedenergistics2:tile.BlockQuartzLamp, Vidro Vibrante de Quartzo
appliedenergistics2:tile.BlockQuartzTorch, Instalação de Quartzo Carregado
appliedenergistics2:tile.BlockFluix, Bloco de Fluix
appliedenergistics2:tile.BlockSkyStone:0, Pedra do Céu
appliedenergistics2:tile.BlockSkyStone:1, Bloco de Pedra do Céu
appliedenergistics2:tile.BlockSkyStone:2, Tijolos de Pedra do Céu
appliedenergistics2:tile.BlockSkyStone:3, Tijolos Pequenos de Pedra do Céu
appliedenergistics2:tile.BlockSkyChest:0, Baú de Pedra do Céu
appliedenergistics2:tile.BlockSkyChest:1, Baú de Bloco de Pedra do Céu
appliedenergistics2:tile.BlockSkyCompass, Bússola de Meteoritos
appliedenergistics2:tile.BlockGrinder, Rebolo de Quartzo
appliedenergistics2:tile.BlockCrank, Manivela de Madeira
appliedenergistics2:tile.BlockInscriber, Inscritor
appliedenergistics2:tile.BlockWireless, Ponto de Acesso Sem Fio ME
appliedenergistics2:tile.BlockCharger, Carregador
appliedenergistics2:tile.BlockTinyTNT, TNT Minúscula
appliedenergistics2:tile.BlockSecurity, Terminal de Segurança ME
appliedenergistics2:tile.BlockQuantumRing, Anel Quântico ME
appliedenergistics2:tile.BlockQuantumLinkChamber, Câmara de Ligação Quântica ME
appliedenergistics2:tile.BlockSpatialPylon, Pilão Espacial
appliedenergistics2:tile.BlockSpatialIOPort, Porta Entrada-Saída Espacial
appliedenergistics2:tile.BlockCableBus, Cabos e/ou Barramentos do AE2
appliedenergistics2:tile.BlockController, Controlador ME
appliedenergistics2:tile.BlockDrive, Acionador ME
appliedenergistics2:tile.BlockChest, Báu ME
appliedenergistics2:tile.BlockInterface, Interface ME
appliedenergistics2:tile.BlockCellWorkbench, Bancada de Células
appliedenergistics2:tile.BlockIOPort, Porta de Entrada-Saída ME
appliedenergistics2:tile.BlockCondenser, Condensador de Matéria
appliedenergistics2:tile.BlockEnergyAcceptor, Aceitador de Energia
appliedenergistics2:tile.BlockVibrationChamber, Câmara de Vibração
appliedenergistics2:tile.BlockQuartzGrowthAccelerator, Acelerador de Crescimento de Cristais
appliedenergistics2:tile.BlockEnergyCell, Célula de Energia
appliedenergistics2:tile.BlockDenseEnergyCell, Célula Densa de Energia
appliedenergistics2:tile.BlockCreativeEnergyCell, Célula Criativa de Energia
appliedenergistics2:tile.BlockCraftingUnit:0, Unidade de Fabricação
appliedenergistics2:tile.BlockCraftingUnit:1, Unidade de Co-Processamento de Fabricação
appliedenergistics2:tile.BlockCraftingUnit:2, 4 Núcleos Unidade de Co-Processamento de Fabricação
appliedenergistics2:tile.BlockCraftingUnit:3, 16 Núcleos Unidade de Co-Processamento de Fabricação
appliedenergistics2:tile.BlockAdvancedCraftingUnit:0, 64 Core Co-Processing Unit
appliedenergistics2:tile.BlockAdvancedCraftingUnit:1, 256 Core Co-Processing Unit
appliedenergistics2:tile.BlockAdvancedCraftingUnit:2, 1024 Core Co-Processing Unit
appliedenergistics2:tile.BlockAdvancedCraftingUnit:3, 4096 Core Co-Processing Unit
appliedenergistics2:tile.BlockCraftingStorage:0, Armazenamento de Fabricação de 1k
appliedenergistics2:tile.BlockCraftingStorage:1, Armazenamento de Fabricação de 4k
appliedenergistics2:tile.BlockCraftingStorage:2, Armazenamento de Fabricação de 16k
appliedenergistics2:tile.BlockCraftingStorage:3, Armazenamento de Fabricação de 64k
appliedenergistics2:tile.BlockAdvancedCraftingStorage:0, 256k Crafting Storage
appliedenergistics2:tile.BlockAdvancedCraftingStorage:1, 1024k Crafting Storage
appliedenergistics2:tile.BlockAdvancedCraftingStorage:2, 4096k Crafting Storage
appliedenergistics2:tile.BlockAdvancedCraftingStorage:3, 16384k Crafting Storage
appliedenergistics2:tile.BlockSingularityCraftingStorage:0, Singularity Crafting Storage
appliedenergistics2:tile.BlockCraftingMonitor:0, Monitor de Fabricação
appliedenergistics2:tile.BlockMolecularAssembler, Montador Molecular
appliedenergistics2:tile.BlockLightDetector, Instalação Detectora de Luz
appliedenergistics2:tile.BlockPaint, tile.appliedenergistics2.BlockPaint.name
appliedenergistics2:tile.SkyStoneStairBlock, Escadas de Pedra do Céu 
appliedenergistics2:tile.SkyStoneBlockStairBlock, Escadas de Bloco de Pedra do Céu 
appliedenergistics2:tile.SkyStoneBrickStairBlock, Escadas de Tijolos de Pedra do Céu 
appliedenergistics2:tile.SkyStoneSmallBrickStairBlock, Escadas de Tijolos Pequenos de Pedra do Céu 
appliedenergistics2:tile.FluixStairBlock, Escadas de Fluix 
appliedenergistics2:tile.QuartzStairBlock, Escadas de Quartzo Certus 
appliedenergistics2:tile.ChiseledQuartzStairBlock, Escadas de Quartzo Certus Talhadas
appliedenergistics2:tile.QuartzPillarStairBlock, Escadas de Pilar de Quartzo Certus 
appliedenergistics2:tile.SkyStoneSlabBlock:0, Laje de Pedra do Céu
appliedenergistics2:tile.SkyStoneSlabBlock.double:0, Laje de Pedra do Céu
appliedenergistics2:tile.SkyStoneBlockSlabBlock:0, Laje de Bloco de Pedra do Céu
appliedenergistics2:tile.SkyStoneBlockSlabBlock.double:0, Laje de Bloco de Pedra do Céu
appliedenergistics2:tile.SkyStoneBrickSlabBlock:0, Laje de Tijolos de Pedra do Céu
appliedenergistics2:tile.SkyStoneBrickSlabBlock.double:0, Laje de Tijolos de Pedra do Céu
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock:0, Laje de Tijolos Pequenos de Pedra do Céu
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock.double:0, Laje de Tijolos Pequenos de Pedra do Céu
appliedenergistics2:tile.FluixSlabBlock:0, Laje de Fluix
appliedenergistics2:tile.FluixSlabBlock.double:0, Laje de Fluix
appliedenergistics2:tile.QuartzSlabBlock:0, Laje de Quartzo Certus
appliedenergistics2:tile.QuartzSlabBlock.double:0, Laje de Quartzo Certus
appliedenergistics2:tile.ChiseledQuartzSlabBlock:0, Laje de Quartzo Certus Talhadas
appliedenergistics2:tile.ChiseledQuartzSlabBlock.double:0, Laje de Quartzo Certus Talhadas
appliedenergistics2:tile.QuartzPillarSlabBlock:0, Laje de Pilar de Quartzo Certus
appliedenergistics2:tile.QuartzPillarSlabBlock.double:0, Laje de Pilar de Quartzo Certus
ae2stuff:Encoder, Codificador de Padrões
ae2stuff:Grower, Câmara de Crescimento de Cristais
ae2stuff:Inscriber, Inscritor Avançado
ae2stuff:Wireless, Wireless Connector
AgriCraft:crops, Crop Sticks
AgriCraft:seedAnalyzer, Seed Analyzer
AgriCraft:waterPad, Water Pad
AgriCraft:waterPadFull, Water Pad
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterTank:0, Wooden Water Tank
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
AgriCraft:waterChannel:0, Wooden Irrigation Channel
